From,To,Datetime,Duration(seconds),Cell Tower
168,2,20060602 1647,1263,22
221,174,20060602 1649,1203,20
391,211,20060602 1649,944,30
21,47,20060602 1650,1132,29
304,23,20060602 1651,1378,29
88,53,20060602 1652,1028,29
277,9,20060602 1652,1005,28
54,252,20060602 1654,756,19
71,209,20060602 1655,829,28
92,228,20060602 1655,1195,30
192,208,20060602 1658,241,11
43,14,20060602 1700,974,15
15,72,20060602 1702,864,7
44,174,20060602 1702,865,21
190,266,20060602 1702,1328,29
307,51,20060602 1702,964,7
108,13,20060602 1706,568,28
181,19,20060602 1706,1060,15
181,15,20060602 1706,758,15
311,37,20060602 1709,930,25
373,41,20060602 1709,1034,29
174,44,20060602 1710,1226,30
80,241,20060602 1712,923,11
111,130,20060602 1712,792,29
166,16,20060602 1716,803,29
298,115,20060602 1716,703,22
116,16,20060602 1718,1089,30
174,369,20060602 1718,1316,30
122,73,20060602 1720,1330,24
161,54,20060602 1720,1144,30
167,1,20060602 1720,1120,15
282,13,20060602 1721,947,19
47,24,20060602 1723,1165,28
323,68,20060602 1723,935,10
334,302,20060602 1723,1232,11
34,50,20060602 1724,879,15
239,247,20060602 1724,1485,18
184,49,20060602 1727,581,13
249,138,20060602 1727,967,11
284,2,20060602 1727,966,22
331,134,20060602 1727,811,11
76,71,20060602 1728,1179,11
96,23,20060602 1728,447,6
70,52,20060602 1732,1026,20
215,272,20060602 1732,1258,29
155,17,20060602 1736,828,28
261,247,20060602 1738,1233,11
393,61,20060602 1738,1192,11
292,376,20060602 1741,1232,13
52,35,20060602 1742,1478,18
273,0,20060602 1742,1284,19
42,126,20060602 1743,1036,13
260,364,20060602 1743,436,28
271,279,20060602 1744,907,13
264,54,20060602 1747,1206,29
388,34,20060602 1747,1500,11
351,38,20060602 1748,1466,28
255,87,20060602 1749,1263,28
313,162,20060602 1751,943,28
240,0,20060602 1753,724,30
269,240,20060602 1753,1109,6
200,137,20060602 1755,550,29
204,93,20060602 1756,1094,13
127,53,20060602 1757,639,20
203,165,20060602 1759,1065,20
281,137,20060602 1800,929,29
314,5,20060602 1803,1178,27
315,361,20060602 1804,433,28
204,291,20060602 1805,1435,13
383,5,20060602 1805,844,7
184,5,20060602 1806,746,2
398,204,20060602 1808,642,11
57,32,20060602 1809,953,15
122,73,20060602 1809,1136,6
328,142,20060602 1809,1351,30
390,226,20060602 1810,1388,21
385,179,20060602 1811,969,19
186,220,20060602 1812,1061,22
304,23,20060602 1813,1264,15
207,27,20060602 1817,1281,24
49,27,20060602 1819,792,11
350,382,20060602 1819,1314,24
332,338,20060602 1821,1054,12
383,92,20060602 1822,1116,7
54,27,20060602 1826,1183,29
50,93,20060602 1829,1359,15
81,142,20060602 1830,857,7
387,69,20060602 1832,645,19
8,45,20060602 1833,1041,12
213,287,20060602 1834,1210,8
203,165,20060602 1835,1284,22
353,154,20060602 1835,983,12
122,23,20060602 1836,582,6
201,5,20060602 1836,533,9
205,19,20060602 1836,1068,28
236,167,20060602 1836,1260,1
393,202,20060602 1841,995,15
162,207,20060602 1845,928,30
177,75,20060602 1845,918,21
281,1,20060602 1847,1094,29
353,154,20060602 1847,830,12
380,363,20060602 1847,1455,29
388,34,20060602 1847,1350,15
318,139,20060602 1848,1334,11
362,94,20060602 1848,1102,9
385,179,20060602 1848,1512,19
86,85,20060602 1853,858,11
362,94,20060602 1853,1256,9
67,41,20060602 1857,1003,16
113,5,20060602 1858,948,15
305,384,20060602 1859,939,19
358,30,20060602 1901,1167,30
377,92,20060602 1902,548,13
234,218,20060602 1903,1049,16
154,48,20060602 1904,832,13
227,28,20060602 1904,1031,16
359,118,20060602 1905,1030,25
96,292,20060602 1907,811,19
28,227,20060602 1908,786,22
11,148,20060602 1909,629,25
114,5,20060602 1909,1098,9
307,84,20060602 1909,899,21
25,71,20060602 1910,1409,29
267,231,20060602 1911,1247,15
0,332,20060602 1912,1002,7
236,13,20060602 1912,1583,1
355,14,20060602 1912,1149,15
80,1,20060602 1913,1072,12
189,384,20060602 1914,1158,29
48,129,20060602 1915,771,28
214,17,20060602 1915,1080,29
174,44,20060602 1919,1287,30
318,229,20060602 1919,1294,11
323,202,20060602 1921,1474,29
63,15,20060602 1922,1238,11
368,197,20060602 1923,1584,12
398,15,20060602 1923,951,16
246,5,20060602 1924,964,7
379,364,20060602 1926,712,1
399,3,20060602 1926,1020,4
254,6,20060602 1927,1504,16
359,96,20060602 1927,1419,25
75,102,20060602 1931,857,15
244,287,20060602 1932,1205,1
47,231,20060602 1936,638,13
82,103,20060602 1937,982,13
6,21,20060602 1938,1077,16
124,2,20060602 1938,1091,1
279,271,20060602 1938,506,15
283,345,20060602 1938,1039,9
283,37,20060602 1938,1201,9
23,92,20060602 1940,1019,11
158,202,20060602 1941,1294,19
91,13,20060602 1942,746,30
321,138,20060602 1942,673,15
129,217,20060602 1946,1300,28
398,15,20060602 1946,1379,16
144,298,20060602 1947,887,23
128,14,20060602 1948,1491,11
381,199,20060602 1949,1305,29
98,7,20060602 1951,794,21
334,302,20060602 1951,1114,11
274,172,20060602 1952,802,9
338,158,20060602 1953,912,21
321,138,20060602 1955,485,15
110,83,20060602 1958,1043,17
179,386,20060602 1959,1495,11
385,179,20060602 1959,1048,19
226,0,20060602 2001,1267,30
151,20,20060602 2003,1493,23
186,115,20060602 2003,900,19
134,331,20060602 2006,1482,27
84,2,20060602 2007,533,9
363,380,20060602 2007,737,29
91,13,20060602 2014,1200,30
325,330,20060602 2014,1101,15
356,11,20060602 2016,767,24
15,297,20060602 2021,1576,23
350,305,20060602 2023,873,24
29,58,20060602 2026,1303,8
24,5,20060602 2027,1361,24
84,2,20060602 2028,1017,28
141,0,20060602 2028,1288,15
198,279,20060602 2029,400,19
273,0,20060602 2031,1148,29
65,32,20060602 2032,970,9
124,9,20060602 2034,805,1
307,51,20060602 2035,723,7
15,218,20060602 2037,680,7
38,1,20060602 2037,1166,1
109,13,20060602 2037,1095,11
190,266,20060602 2037,869,29
212,103,20060602 2037,990,13
271,279,20060602 2039,680,13
315,32,20060602 2040,1110,29
188,29,20060602 2041,1056,29
381,12,20060602 2041,762,9
128,75,20060602 2044,1273,11
296,217,20060602 2044,882,11
361,315,20060602 2044,1160,16
358,30,20060602 2049,1375,30
158,357,20060602 2051,1438,19
164,38,20060602 2051,1123,11
187,51,20060602 2051,1204,30
155,17,20060602 2052,924,16
257,27,20060602 2052,1290,11
9,124,20060602 2053,1065,17
231,47,20060602 2053,1291,27
203,165,20060602 2054,1011,22
219,4,20060602 2056,1121,10
338,158,20060602 2056,994,21
248,336,20060602 2057,1549,16
189,384,20060602 2100,838,11
98,78,20060602 2102,1067,21
228,92,20060602 2103,812,2
143,52,20060602 2104,808,29
207,162,20060602 2105,643,24
225,35,20060602 2105,1071,30
173,120,20060602 2106,1024,15
365,91,20060602 2106,1186,15
375,172,20060602 2106,1016,15
327,42,20060602 2107,812,13
361,315,20060602 2111,645,16
108,13,20060602 2112,1516,9
347,205,20060602 2114,1598,22
187,66,20060602 2117,1287,30
242,46,20060602 2120,756,9
347,113,20060602 2120,557,22
331,134,20060602 2121,979,15
264,229,20060602 2122,1597,29
258,132,20060602 2123,1257,29
386,179,20060602 2123,837,11
1,200,20060602 2124,286,29
150,5,20060602 2125,1225,16
152,329,20060602 2132,1226,15
355,0,20060602 2133,1378,15
118,359,20060602 2134,261,30
152,329,20060602 2136,485,15
229,264,20060602 2139,1523,13
345,283,20060602 2139,1259,9
96,359,20060602 2142,1428,19
28,23,20060602 2143,1152,22
290,167,20060602 2146,854,10
4,183,20060602 2147,892,15
45,8,20060602 2148,937,27
153,1,20060602 2149,965,1
159,66,20060602 2149,1357,9
169,61,20060602 2149,1093,4
170,190,20060602 2150,982,25
338,158,20060602 2150,934,21
351,44,20060602 2150,1515,28
162,273,20060602 2152,1207,30
58,29,20060602 2154,964,23
350,19,20060602 2155,1585,1
376,292,20060602 2156,912,22
165,34,20060602 2157,594,29
368,197,20060602 2157,1377,11
370,49,20060602 2157,1461,1
190,266,20060602 2158,992,9
290,167,20060602 2200,1113,10
168,2,20060602 2201,1454,25
16,166,20060602 2202,960,11
32,65,20060602 2202,1519,13
273,162,20060602 2203,612,29
0,341,20060602 2204,1488,21
92,231,20060602 2204,1028,30
160,223,20060602 2205,1340,22
227,28,20060602 2206,737,16
5,246,20060602 2208,575,30
265,32,20060602 2209,842,9
180,93,20060602 2211,689,11
264,229,20060602 2211,820,29
75,30,20060602 2212,993,17
128,14,20060602 2212,1519,11
395,175,20060602 2212,1325,11
75,177,20060602 2214,868,15
178,23,20060602 2216,863,9
110,90,20060602 2217,1071,17
321,3,20060602 2217,889,4
49,370,20060602 2219,1609,13
250,41,20060602 2219,857,29
380,120,20060602 2219,1282,29
279,198,20060602 2220,1129,15
286,137,20060602 2221,841,15
140,0,20060602 2223,1016,15
226,168,20060602 2223,796,15
363,380,20060602 2224,1180,29
4,45,20060602 2225,760,11
47,24,20060602 2225,825,28
118,55,20060602 2228,775,6
296,227,20060602 2228,1038,11
350,19,20060602 2229,1659,1
20,151,20060602 2231,1302,30
315,32,20060602 2235,1363,28
176,148,20060602 2236,880,15
385,179,20060602 2237,505,19
90,3,20060602 2238,1220,15
202,154,20060602 2238,1426,22
292,376,20060602 2239,919,11
195,8,20060602 2240,1205,15
329,152,20060602 2240,516,15
279,271,20060602 2242,1237,15
113,5,20060602 2243,1181,15
335,65,20060602 2243,1248,1
9,52,20060602 2244,1286,25
153,1,20060602 2246,1103,1
352,32,20060602 2248,1144,16
260,284,20060602 2249,736,16
353,89,20060602 2249,1042,28
14,15,20060602 2250,1144,10
83,61,20060602 2250,1113,12
176,148,20060602 2250,1331,15
359,118,20060602 2251,679,25
230,93,20060602 2258,949,28
255,87,20060602 2258,1566,4
28,23,20060602 2300,1347,22
58,38,20060602 2303,455,17
72,15,20060602 2303,852,17
317,123,20060602 2303,987,30
18,59,20060602 2304,1203,20
160,6,20060602 2304,867,22
296,227,20060602 2304,1483,11
220,277,20060602 2305,779,6
302,24,20060602 2305,425,15
297,172,20060602 2307,455,22
132,258,20060602 2309,1038,21
316,5,20060602 2310,1164,4
374,13,20060602 2310,1360,16
2,200,20060602 2311,811,29
48,395,20060602 2311,1303,28
173,40,20060602 2311,1079,15
136,254,20060602 2313,1481,29
254,136,20060602 2318,1151,11
353,154,20060602 2318,864,12
175,395,20060602 2319,1347,30
277,220,20060602 2321,963,16
0,32,20060602 2322,1101,21
156,101,20060602 2322,1186,20
311,37,20060602 2322,714,8
28,239,20060602 2323,764,22
147,26,20060602 2324,659,28
116,16,20060602 2327,683,11
24,47,20060602 2328,1283,24
21,121,20060602 2329,827,9
54,2,20060602 2329,982,29
82,49,20060602 2329,1064,13
219,146,20060602 2331,684,21
69,387,20060602 2332,1173,7
365,62,20060602 2332,739,15
226,0,20060602 2334,1164,30
23,304,20060602 2335,1062,11
26,49,20060602 2340,897,12
169,61,20060602 2340,656,4
213,118,20060602 2340,260,8
197,4,20060602 2342,887,29
30,3,20060602 2346,1007,18
118,55,20060602 2347,871,6
213,118,20060602 2348,707,8
75,102,20060602 2350,1509,15
32,315,20060602 2355,1181,11
270,2,20060602 2356,905,27
58,38,20060602 2359,1056,17
246,16,20060602 2359,1004,7
178,133,20060603 0009,887,9
135,0,20060603 0012,1182,13
346,120,20060603 0012,945,15
266,30,20060603 0014,1049,11
185,229,20060603 0015,888,29
108,13,20060603 0020,1148,9
31,396,20060603 0027,1347,9
288,56,20060603 0031,383,30
34,325,20060603 0040,1022,21
341,0,20060603 0041,913,21
372,66,20060603 0041,1084,13
190,170,20060603 0051,1618,9
232,172,20060603 0052,1106,30
15,63,20060603 0054,1203,23
258,132,20060603 0054,885,29
209,13,20060603 0112,1230,12
111,42,20060603 0119,1112,29
183,17,20060603 0125,1164,1
175,395,20060603 0126,1338,30
18,249,20060603 0134,1438,20
225,35,20060603 0136,796,30
161,54,20060603 0137,1213,10
13,282,20060603 0142,1201,13
190,170,20060603 0144,955,9
4,83,20060603 0147,1212,15
247,386,20060603 0147,1008,2
199,280,20060603 0150,1290,22
343,1,20060603 0154,1297,30
157,61,20060603 0159,758,1
342,1,20060603 0159,924,13
165,1,20060603 0202,936,29
387,267,20060603 0204,896,19
80,1,20060603 0205,752,12
372,89,20060603 0209,665,13
82,49,20060603 0214,1333,13
38,351,20060603 0229,912,1
50,93,20060603 0233,705,15
24,47,20060603 0235,728,24
47,24,20060603 0236,1246,13
57,61,20060603 0246,1358,15
299,260,20060603 0255,1533,16
265,32,20060603 0256,1126,29
88,79,20060603 0304,429,29
134,1,20060603 0304,1339,27
287,213,20060603 0304,1611,11
375,172,20060603 0318,680,15
128,14,20060603 0332,1220,11
386,247,20060603 0335,1354,11
248,336,20060603 0346,1086,16
263,9,20060603 0347,993,30
115,23,20060603 0357,1351,17
379,364,20060603 0358,1216,1
45,8,20060603 0403,1204,12
358,30,20060603 0404,1416,30
368,196,20060603 0407,621,12
384,305,20060603 0411,1017,29
354,52,20060603 0413,1186,30
80,15,20060603 0414,1119,11
170,190,20060603 0414,1463,23
337,41,20060603 0418,1058,28
373,61,20060603 0422,944,15
118,55,20060603 0436,956,30
273,162,20060603 0441,1071,29
76,71,20060603 0442,689,29
55,164,20060603 0444,1169,27
301,275,20060603 0456,1032,15
118,55,20060603 0458,803,30
176,148,20060603 0458,947,15
262,137,20060603 0503,1183,22
82,103,20060603 0504,885,13
174,369,20060603 0510,1405,30
283,345,20060603 0511,893,9
153,66,20060603 0516,1272,1
319,225,20060603 0518,470,11
13,374,20060603 0527,871,11
29,58,20060603 0530,1203,8
379,364,20060603 0555,1247,1
126,213,20060603 0558,1267,4
249,18,20060603 0559,785,28
85,0,20060603 0614,1260,7
229,24,20060603 0614,752,13
395,175,20060603 0618,921,11
107,1,20060603 0628,1130,19
369,320,20060603 0628,1196,22
245,1,20060603 0629,806,22
170,270,20060603 0635,1176,23
103,87,20060603 0637,1339,4
395,175,20060603 0638,1524,11
153,66,20060603 0707,920,1
196,1,20060603 0709,1117,11
157,374,20060603 0713,1282,1
137,286,20060603 0714,955,15
284,2,20060603 0719,1023,19
289,45,20060603 0726,1516,4
228,92,20060603 0729,808,13
381,199,20060603 0730,1126,9
175,0,20060603 0733,835,30
80,15,20060603 0737,932,12
38,351,20060603 0739,1393,1
364,379,20060603 0742,636,1
298,144,20060603 0757,1215,21
100,68,20060603 0803,555,30
270,170,20060603 0803,1731,27
324,120,20060603 0803,918,22
111,42,20060603 0805,1554,29
199,35,20060603 0807,1148,22
66,159,20060603 0808,1201,29
117,12,20060603 0808,1247,28
158,357,20060603 0808,1018,22
173,40,20060603 0808,1378,15
101,30,20060603 0810,1541,19
136,254,20060603 0812,1181,10
75,30,20060603 0814,1072,15
248,336,20060603 0815,1711,16
335,14,20060603 0819,1303,1
68,323,20060603 0822,1298,16
111,42,20060603 0822,1211,29
8,195,20060603 0823,1507,12
157,5,20060603 0823,1249,1
269,240,20060603 0824,1226,6
346,1,20060603 0824,919,15
303,131,20060603 0825,1230,7
238,7,20060603 0826,1498,29
255,87,20060603 0826,946,28
333,41,20060603 0829,533,4
103,247,20060603 0830,1584,4
317,30,20060603 0830,1196,11
228,92,20060603 0831,1377,2
364,260,20060603 0831,845,1
135,0,20060603 0833,588,13
244,287,20060603 0833,1386,1
206,237,20060603 0835,1193,21
249,18,20060603 0838,618,28
259,119,20060603 0839,975,12
319,225,20060603 0840,2164,11
353,89,20060603 0840,1233,12
289,45,20060603 0842,795,4
43,14,20060603 0843,1700,24
259,119,20060603 0844,1309,12
237,206,20060603 0849,717,4
301,0,20060603 0849,1173,15
359,96,20060603 0849,1450,25
203,165,20060603 0853,843,22
373,61,20060603 0855,1773,29
290,167,20060603 0857,1141,10
308,198,20060603 0857,1097,16
161,235,20060603 0859,1078,10
261,0,20060603 0904,1102,9
103,137,20060603 0905,1080,4
135,12,20060603 0908,758,29
153,1,20060603 0908,1044,10
272,251,20060603 0912,794,11
49,370,20060603 0913,1212,13
186,115,20060603 0913,1150,19
235,161,20060603 0914,1247,25
75,128,20060603 0915,1247,15
50,68,20060603 0917,837,15
191,178,20060603 0917,1152,22
359,118,20060603 0918,1311,25
63,15,20060603 0919,1143,11
184,5,20060603 0919,1520,2
396,31,20060603 0919,641,18
248,336,20060603 0922,1117,16
21,141,20060603 0923,1363,9
68,50,20060603 0923,954,16
81,23,20060603 0923,606,7
129,21,20060603 0923,1537,28
210,1,20060603 0926,886,27
308,198,20060603 0926,1032,29
277,220,20060603 0927,485,16
150,5,20060603 0928,1534,16
173,40,20060603 0928,840,28
276,40,20060603 0928,691,29
146,322,20060603 0932,1632,1
182,13,20060603 0934,1234,29
291,194,20060603 0935,1239,28
58,38,20060603 0938,1659,17
294,87,20060603 0938,699,22
315,32,20060603 0938,916,28
14,39,20060603 0939,765,10
146,9,20060603 0939,1233,1
47,24,20060603 0940,1240,28
229,185,20060603 0941,1399,15
319,225,20060603 0942,1467,11
315,361,20060603 0943,974,28
9,251,20060603 0944,1429,25
290,167,20060603 0944,917,10
116,16,20060603 0945,636,11
131,23,20060603 0946,1308,22
0,15,20060603 0947,1089,21
346,120,20060603 0947,1159,15
319,222,20060603 0951,1553,11
390,226,20060603 0951,1538,22
349,7,20060603 0953,868,1
135,0,20060603 0955,920,13
176,148,20060603 0957,1050,15
7,159,20060603 0959,1105,16
141,21,20060603 0959,1721,11
1,94,20060603 1000,776,11
114,87,20060603 1001,499,9
148,176,20060603 1002,1181,11
316,52,20060603 1003,1595,4
73,122,20060603 1004,708,21
369,320,20060603 1007,1652,25
66,14,20060603 1008,642,29
283,37,20060603 1008,1644,11
131,303,20060603 1010,972,22
139,318,20060603 1010,909,24
184,49,20060603 1011,1154,13
20,120,20060603 1012,1453,30
197,4,20060603 1013,710,29
308,175,20060603 1014,1014,29
312,38,20060603 1015,1290,29
161,6,20060603 1016,1056,30
305,350,20060603 1016,954,19
196,368,20060603 1017,1001,11
349,7,20060603 1017,2006,1
380,363,20060603 1017,705,29
55,164,20060603 1019,1089,27
362,94,20060603 1019,1058,9
363,42,20060603 1020,555,29
125,94,20060603 1021,769,12
145,1,20060603 1021,1112,12
219,146,20060603 1021,730,21
263,185,20060603 1024,1942,30
10,79,20060603 1025,975,30
186,220,20060603 1027,1867,19
224,71,20060603 1027,1369,25
72,172,20060603 1029,950,27
282,199,20060603 1029,1116,14
308,198,20060603 1030,1547,29
74,44,20060603 1031,1195,16
56,163,20060603 1032,1106,22
394,199,20060603 1032,1214,11
137,5,20060603 1033,1018,15
232,172,20060603 1034,1077,30
342,158,20060603 1034,1052,13
113,5,20060603 1036,824,15
237,1,20060603 1036,1237,4
75,102,20060603 1037,1519,15
119,38,20060603 1037,1182,14
145,0,20060603 1038,1713,12
299,52,20060603 1038,1365,16
78,52,20060603 1039,793,16
85,156,20060603 1039,1270,7
276,1,20060603 1041,1298,29
344,61,20060603 1041,1106,23
7,159,20060603 1042,1076,16
108,13,20060603 1045,1317,28
149,138,20060603 1045,714,15
310,54,20060603 1045,908,15
331,134,20060603 1049,1087,15
333,375,20060603 1050,1306,4
45,4,20060603 1051,713,12
191,120,20060603 1052,845,22
371,1,20060603 1053,1104,22
212,123,20060603 1054,894,13
326,90,20060603 1054,1548,7
41,250,20060603 1055,1255,28
52,354,20060603 1055,736,3
151,1,20060603 1055,1072,6
357,341,20060603 1056,929,17
15,101,20060603 1057,1037,23
54,264,20060603 1058,1506,29
305,293,20060603 1102,659,6
73,37,20060603 1103,1094,21
226,390,20060603 1104,1392,15
342,158,20060603 1104,1745,13
142,81,20060603 1105,1270,29
371,60,20060603 1106,736,19
334,1,20060603 1107,1147,11
158,175,20060603 1108,889,22
330,325,20060603 1109,1195,27
255,10,20060603 1111,738,4
260,284,20060603 1111,840,28
85,0,20060603 1113,968,30
170,234,20060603 1114,1209,25
144,54,20060603 1116,1336,16
192,320,20060603 1117,1036,10
323,68,20060603 1118,1632,10
385,179,20060603 1118,1406,19
173,40,20060603 1119,1144,15
146,243,20060603 1120,1623,1
338,158,20060603 1120,1290,21
6,21,20060603 1121,1294,16
377,92,20060603 1121,350,13
280,199,20060603 1123,725,29
20,92,20060603 1129,776,30
43,4,20060603 1129,979,15
382,350,20060603 1129,294,29
27,392,20060603 1130,779,8
399,3,20060603 1130,1220,4
55,13,20060603 1132,823,27
117,377,20060603 1132,1231,28
366,5,20060603 1132,1322,7
116,1,20060603 1133,1429,11
231,267,20060603 1133,851,13
302,109,20060603 1133,1107,15
78,331,20060603 1135,1314,4
20,151,20060603 1136,872,30
85,86,20060603 1136,1282,7
324,18,20060603 1138,726,22
31,396,20060603 1141,1740,30
129,48,20060603 1141,1051,28
152,329,20060603 1145,523,15
176,148,20060603 1145,1359,15
264,229,20060603 1146,1093,29
106,79,20060603 1147,579,1
48,395,20060603 1148,1218,28
151,192,20060603 1148,769,23
188,70,20060603 1152,1409,29
246,16,20060603 1152,1040,7
383,5,20060603 1152,655,10
224,34,20060603 1153,1292,25
13,108,20060603 1157,1099,11
144,298,20060603 1157,1350,16
350,305,20060603 1157,1286,24
36,53,20060603 1200,532,28
178,191,20060603 1203,693,9
224,34,20060603 1203,1281,25
233,53,20060603 1203,1023,11
379,317,20060603 1203,948,1
114,5,20060603 1206,1047,9
126,42,20060603 1206,829,8
349,23,20060603 1206,1285,1
223,160,20060603 1207,1358,15
221,202,20060603 1209,480,27
335,14,20060603 1210,1317,10
106,79,20060603 1212,1295,1
203,165,20060603 1213,1161,20
398,204,20060603 1213,1184,16
298,144,20060603 1214,698,21
341,357,20060603 1215,503,20
161,6,20060603 1217,914,30
288,56,20060603 1219,729,30
168,226,20060603 1221,1309,22
162,273,20060603 1222,841,30
334,1,20060603 1222,1299,11
319,225,20060603 1223,1673,11
369,174,20060603 1223,1280,22
122,23,20060603 1226,1439,24
312,275,20060603 1226,890,29
381,199,20060603 1226,1273,9
133,21,20060603 1228,1129,22
20,223,20060603 1229,1172,30
326,90,20060603 1229,1125,7
355,0,20060603 1230,1195,28
128,14,20060603 1231,866,11
9,277,20060603 1234,1195,17
284,260,20060603 1234,927,19
104,83,20060603 1235,535,7
59,113,20060603 1237,1772,15
127,43,20060603 1237,1891,3
88,79,20060603 1239,1134,29
89,1,20060603 1239,908,11
344,61,20060603 1239,1393,23
379,317,20060603 1239,1086,1
352,3,20060603 1240,1526,29
51,275,20060603 1241,725,16
70,5,20060603 1241,1084,22
195,245,20060603 1243,683,15
197,1,20060603 1246,611,29
86,85,20060603 1247,986,4
227,28,20060603 1247,665,16
70,244,20060603 1250,852,22
102,15,20060603 1250,1284,13
244,287,20060603 1251,724,1
117,110,20060603 1252,1240,28
249,18,20060603 1252,903,28
62,365,20060603 1253,1118,4
103,137,20060603 1254,997,4
118,196,20060603 1258,1167,6
288,2,20060603 1259,1416,30
14,1,20060603 1300,1683,10
135,0,20060603 1300,1457,13
334,302,20060603 1301,787,11
358,392,20060603 1301,928,30
122,73,20060603 1302,1338,24
242,1,20060603 1302,593,11
263,9,20060603 1302,1078,30
62,93,20060603 1305,1046,4
207,162,20060603 1305,1273,24
131,303,20060603 1307,767,22
63,1,20060603 1308,1374,11
62,20,20060603 1309,1087,24
82,103,20060603 1309,1093,13
341,112,20060603 1310,707,21
24,47,20060603 1314,950,30
286,92,20060603 1314,1136,11
40,173,20060603 1315,2171,1
186,58,20060603 1315,1481,19
313,97,20060603 1315,1036,13
355,14,20060603 1316,937,28
178,23,20060603 1318,980,11
123,212,20060603 1320,829,25
146,13,20060603 1320,955,1
59,113,20060603 1321,1434,15
171,95,20060603 1323,1458,13
82,49,20060603 1326,1076,13
299,52,20060603 1327,696,16
203,42,20060603 1330,1528,20
364,379,20060603 1331,1124,1
48,154,20060603 1333,698,28
340,14,20060603 1333,866,11
193,3,20060603 1335,1281,22
244,1,20060603 1335,409,1
358,392,20060603 1337,1492,30
39,14,20060603 1339,813,9
149,144,20060603 1339,791,15
295,3,20060603 1339,1229,6
383,92,20060603 1341,1548,7
50,93,20060603 1343,859,15
229,24,20060603 1344,1023,15
376,292,20060603 1344,1286,22
229,318,20060603 1345,1244,13
113,347,20060603 1347,1056,15
51,187,20060603 1348,1356,16
184,5,20060603 1349,1051,2
214,17,20060603 1349,640,29
235,158,20060603 1350,1429,23
275,312,20060603 1352,879,30
75,30,20060603 1353,909,15
83,110,20060603 1353,753,30
277,220,20060603 1353,828,16
136,60,20060603 1354,1851,29
283,345,20060603 1354,977,9
267,5,20060603 1355,1056,30
292,376,20060603 1355,1407,11
26,5,20060603 1357,936,12
156,85,20060603 1357,663,21
275,51,20060603 1357,379,30
133,21,20060603 1400,1190,22
228,92,20060603 1403,1458,2
44,32,20060603 1406,931,21
182,38,20060603 1407,877,13
226,168,20060603 1409,994,15
125,27,20060603 1410,1280,12
204,398,20060603 1410,1359,8
214,140,20060603 1412,1130,29
362,1,20060603 1415,505,9
370,49,20060603 1416,831,1
378,275,20060603 1416,782,30
254,6,20060603 1417,1364,11
34,224,20060603 1418,1481,15
43,4,20060603 1418,1322,24
262,137,20060603 1418,1139,22
302,109,20060603 1420,1086,15
90,110,20060603 1423,1211,30
265,32,20060603 1423,926,29
365,62,20060603 1423,874,15
259,119,20060603 1424,627,12
343,52,20060603 1424,1295,30
134,256,20060603 1425,867,23
149,144,20060603 1425,471,15
342,158,20060603 1425,729,29
74,9,20060603 1426,929,16
6,254,20060603 1427,972,29
9,277,20060603 1429,1252,17
171,51,20060603 1430,970,13
184,5,20060603 1430,1183,2
207,162,20060603 1431,1350,24
118,359,20060603 1432,1393,30
235,161,20060603 1433,711,23
74,9,20060603 1434,939,16
230,8,20060603 1434,1494,28
187,51,20060603 1435,1475,30
222,24,20060603 1436,780,30
139,3,20060603 1440,1493,1
222,24,20060603 1440,905,10
321,3,20060603 1440,771,4
0,32,20060603 1441,1097,21
88,79,20060603 1442,587,29
82,103,20060603 1443,1118,13
375,333,20060603 1444,820,15
16,166,20060603 1445,497,11
29,188,20060603 1446,1255,8
194,5,20060603 1447,1091,14
194,5,20060603 1448,976,14
15,14,20060603 1450,997,7
21,260,20060603 1450,1379,29
51,307,20060603 1450,1182,11
136,344,20060603 1451,868,29
380,120,20060603 1451,683,29
113,364,20060603 1452,1363,15
181,19,20060603 1452,921,15
250,41,20060603 1452,804,16
17,382,20060603 1453,1007,15
141,0,20060603 1455,750,15
286,92,20060603 1457,1536,15
162,207,20060603 1458,1236,30
291,194,20060603 1458,714,28
203,165,20060603 1459,1268,22
330,325,20060603 1459,1287,27
339,26,20060603 1459,1121,11
383,5,20060603 1459,1207,10
195,245,20060603 1501,1623,15
326,5,20060603 1501,829,7
26,295,20060603 1503,235,12
53,88,20060603 1504,923,16
343,1,20060603 1504,813,9
1,99,20060603 1505,724,11
43,14,20060603 1505,1160,15
123,212,20060603 1505,1157,25
27,2,20060603 1507,1479,8
58,186,20060603 1507,1040,17
17,11,20060603 1508,934,15
81,142,20060603 1511,800,7
174,158,20060603 1512,1170,30
190,266,20060603 1514,1055,9
263,9,20060603 1515,695,30
111,41,20060603 1516,725,29
303,131,20060603 1516,1125,26
83,61,20060603 1517,1375,12
169,61,20060603 1522,1631,28
254,136,20060603 1522,1495,11
374,157,20060603 1523,781,16
8,16,20060603 1525,1049,29
76,71,20060603 1527,809,29
185,91,20060603 1527,991,13
88,79,20060603 1528,1405,29
119,271,20060603 1529,1106,20
281,137,20060603 1529,492,28
131,283,20060603 1535,1456,22
380,363,20060603 1536,1082,29
235,158,20060603 1538,851,25
290,92,20060603 1538,1018,10
158,338,20060603 1539,1360,22
231,267,20060603 1539,1068,13
333,375,20060603 1540,1609,4
248,7,20060603 1544,871,16
43,127,20060603 1546,1079,24
358,103,20060603 1547,1044,30
5,200,20060603 1548,998,30
